Status,AdditionalListingInfo,MLSNumber,Address,CurrentPrice,DOM,BathsTotal,BedsTotal,BathsFull,BathsHalf,SqFtTotal,LotSizeArea_Min,City,Age 
Contingent,Not Applicable,ML81469326,311 Magellan ,1850000,105,3,4,3,0,3011,8000,Half Moon Bay,0
Pending,Not Applicable,ML81547264,251 Coronado Avenue,1849888,30,3,3,2,1,1940,9535.28,San Carlos,35
Pending,Not Applicable,ML81521002,153 Bay Road,1849000,41,2,3,2,0,1529,5650,Menlo Park,65
Active,Not Applicable,ML81563743,3433 Monterey Street,1849000,4,3,3,2,1,2450,21000,San Mateo,39
Pending,Not Applicable,ML81550516,2024 Notre Dame Avenue,1839000,4,2,3,2,0,3200,6250,Belmont,69
Pending,Not Applicable,ML81561291,1318 Vernon Terrace,1828000,9,3,4,2,1,2350,6201,San Mateo,62
Active,Not Applicable,ML81562445,44192 Lupine Place,1820000,12,4,5,3,1,3320,6233.44,Fremont,13
Active,Not Applicable,ML81561380,1539 Parrott Drive,1810000,19,2,3,2,0,1780,10200,San Mateo,64
Active,Not Applicable,ML81563593,2005 Arbor Avenue,1800000,4,3,3,2,1,2630,7600,Belmont,75
Active,Not Applicable,ML81563529,936 Kensington Drive,1799999,5,3,5,3,0,2498,10528.45,Fremont,59
Pending,Not Applicable,ML81548667,823 Bay Harbour Drive,1799971,7,3,4,3,0,2540,4504.1,Redwood Shores,27
Active,Not Applicable,ML81562575,732 Newport Circle,1799971,11,3,3,3,0,1863,5619.24,Redwood Shores,31
Contingent,Not Applicable,ML81533978,77 Madera Avenue,1799000,17,3,4,2,1,2928,7812,San Carlos,9
Pending,Not Applicable,ML81548659,839 Chesterton ,1799000,3,3,4,3,0,2300,8500,Redwood City,55
Active,Not Applicable,ML81563582,760 Tamarack Avenue,1799000,4,2,4,2,0,1898,6398.96,San Carlos,68
Active,Not Applicable,ML81562166,990 Summit Creek Court,1798000,6,4,5,4,0,4055,26288.46,Pleasanton,16
Pending,Not Applicable,ML81548072,809 Southport Drive,1795000,13,3,4,3,0,2660,4100,Redwood Shores,27
Active,Not Applicable,ML81534765,1335 Crestview Drive,1788888,89,3,5,3,0,2720,7600,San Carlos,37
Contingent,Not Applicable,ML81550372,2101 Stratford Way,1788000,19,3,3,2,1,2284,19000,San Mateo,57
Contingent,Not Applicable,ML81550558,2116 Broadway ,1775000,14,2,3,2,0,2040,6000,Burlingame,92
Active,Not Applicable,ML81563826,28 Fairway Place,1750000,3,3,3,2,1,3500,8280,Half Moon Bay,28
Active,Not Applicable,ML81563968,466 Sand Hill Circle ,1749000,1,3,4,2,1,2180,1950,Menlo Park,42
Pending,Not Applicable,ML81501261,400 Saint Martin Drive,1748000,27,3,4,2,1,2010,8359,Redwood Shores,19
Active,Not Applicable,ML81562320,745 Columbia Drive,1728000,12,2,3,2,0,2160,7493,San Mateo,67
Active,Not Applicable,ML81561505,28304 Hayward Boulevard,1699888,18,5,4,3,2,3604,54885.6,Hayward,11
Active,Not Applicable,ML81431705,199 TAYLOR Boulevard,1699000,554,2,3,1,1,2400,4773,Millbrae,80
Active,Not Applicable,ML81465614,36 Fairway Place,1699000,287,3,4,2,1,3460,8820,Half Moon Bay,27
Contingent,Not Applicable,ML81546973,75 El Bonito Way,1699000,17,4,3,3,1,2525,4499.75,Millbrae,77
Active,Not Applicable,ML81547691,21 Madera Avenue,1699000,48,4,5,3,1,2190,8999.5,San Carlos,21
Active,Not Applicable,ML81563106,47581 Gable Common,1699000,7,3,5,2,1,3001,9164,Fremont,27
Active,Not Applicable,ML81563920,1120 Killarney Lane,1699000,1,3,3,3,0,2080,5000,Burlingame,74
Active,Not Applicable,ML81563782,1233 Sleepy Hollow Lane,1698961,4,3,4,3,0,1820,38960.06,Millbrae,56
Pending,Not Applicable,ML81550415,663 Island Place,1698800,11,3,3,2,1,2390,5570,Redwood Shores,29
Active,Not Applicable,ML81534883,171 Trinity Lane,1698000,28,1,3,1,0,1400,51800,Portola Valley,61
Pending,Not Applicable,ML81550363,90 Colorados Drive,1698000,9,3,5,2,1,2360,13608.14,Millbrae,47
Active,Not Applicable,ML81550550,250 Upland Road,1698000,25,3,4,3,0,2300,18900.68,Redwood City,68
Contingent,Not Applicable,ML81551156,41809 Mission Cielo Court,1698000,15,3,5,3,0,2959,4782.89,Fremont,17
Pending,Not Applicable,ML81561396,722 University Drive,1698000,12,3,2,2,1,1530,1472.33,Menlo Park,35
Contingent,Not Applicable,ML81561449,1767 Monticello Road,1698000,16,2,3,2,0,1725,7487.96,San Mateo,59
Active,Not Applicable,ML81563363,524 Francisco Drive,1698000,6,2,3,2,0,2105,6250,Burlingame,86
Active,Not Applicable,ML81534855,1512 Notre Dame Avenue,1695888,88,3,3,2,1,2000,10000,Belmont,68
Active,Not Applicable,ML81562330,17 Fairway Place,1695000,12,3,4,3,0,3280,8611,Half Moon Bay,28
Active,Not Applicable,ML81563866,1027 Windermere Avenue,1695000,2,2,3,2,0,1410,5900,Menlo Park,69
Pending,Not Applicable,ML81550716,45897 Bridgeport Place,1688000,10,4,4,4,0,2539,26724.06,Fremont,32
Contingent,Not Applicable,ML81561306,654 Barneson Avenue,1688000,8,2,3,2,0,2000,6000,San Mateo,61
Active,Not Applicable,ML81563467,402 Longden Avenue,1688000,5,4,4,3,1,2120,,San Mateo,1
Contingent,Not Applicable,ML81534120,313 E Oakwood Boulevard,1680000,90,3,3,2,1,2060,9000,Redwood City,65
Active,Not Applicable,ML81499257,170 Arundel Drive,1669740,248,6,5,5,1,4957,12230,Hayward,2
Active,Not Applicable,ML81521069,2910 Court of San Marco ,1665000,128,4,5,4,0,3960,7500,Half Moon Bay,21
Pending,Not Applicable,ML81561437,697 Glennan Drive,1650000,13,3,3,3,0,2130,8874,Redwood City,60
Pending,Not Applicable,ML81562430,1008 Elm Street,1650000,7,3,4,2,1,2070,5998.21,San Carlos,88
Active,Not Applicable,ML81547680,85 Lily Court,1649000,48,3,4,2,1,2837,6860.7,Brisbane,7
Active,Not Applicable,ML81550513,973 Chesterton Avenue,1649000,25,3,4,3,0,1860,6255.22,Redwood City,63
Pending,Not Applicable,ML81547824,414 Crystalline Drive,1648000,22,3,4,3,0,2305,13599.43,Fremont,31
Active,Not Applicable,ML81563390,3022 Whisperwave Circle,1648000,5,3,4,2,1,1909,3024,Redwood City,18
Pending,Not Applicable,ML81548763,1109 Oakwood Drive,1638000,6,3,4,3,0,2204,5104,Millbrae,60
Active,Not Applicable,ML81550143,26933 Greenhaven Road,1635888,27,5,6,5,0,4600,44431,Hayward,10
Pending,Not Applicable,ML81520747,206-210 Donohoe Street,1625000,73,1,2,1,0,1030,8500,East Palo Alto,79
Active,Not Applicable,ML81563090,206 BRADBURY Lane,1615000,7,3,4,2,1,2470,4000,Redwood City,27
Active,Not Applicable,ML81562347,1051 Pizarro Lane,1600000,11,2,3,2,0,2110,3898.62,Foster City,41
Active,Not Applicable,ML81522755,2800 Hacienda Street,1599000,100,2,3,2,0,1640,10300,San Mateo,63
Contingent,Not Applicable,ML81548083,1525 Oak Street,1599000,42,2,3,2,0,1910,5000.69,San Mateo,75
Active,Not Applicable,ML81563923,20 Corte Alegre ,1599000,1,3,3,2,1,2090,7100,Millbrae,65
Pending,Not Applicable,ML81549502,645 Barneson Avenue,1598000,27,2,3,2,0,1710,5527.76,San Mateo,63
Pending,Not Applicable,ML81549678,421 Luff Lane,1598000,11,3,4,3,0,1888,6499.15,Redwood Shores,47
Pending,Not Applicable,ML81550242,322 Aragon Boulevard,1598000,11,2,3,1,1,1340,6599.34,San Mateo,75
Active,Not Applicable,ML81562482,2115 Sharon Avenue,1598000,11,3,4,3,0,2295,6517,Belmont,69
Active,Not Applicable,ML81563186,2622 Carlmont Drive,1598000,6,3,3,2,1,2060,23465.77,Belmont,19
Active,Not Applicable,ML81563736,212 Brighton Lane,1598000,4,3,4,2,1,2060,4455,Redwood City,31
Pending,Not Applicable,ML81549705,2809 Carson Street,1595000,11,2,4,2,0,1817,8803.48,Redwood City,65
Pending,Not Applicable,ML81550348,854 Viewridge Drive,1595000,14,2,4,2,0,2150,23616,San Mateo,53
Active,Not Applicable,ML81561235,231 W 25th Avenue,1595000,19,2,3,2,0,1960,5000.69,San Mateo,86
Active,Not Applicable,ML81562760,946 Evelyn Street,1595000,8,2,3,2,0,1296,5000.69,Menlo Park,89
Active,Not Applicable,ML81563598,1033 Ringwood Avenue,1595000,4,2,3,2,0,1677,6000,Menlo Park,70
Contingent,Not Applicable,ML81550113,144 W 38th Avenue,1580000,16,2,4,2,0,2120,5088,San Mateo,70
Active,Not Applicable,ML81549207,4399 Pescadero Creek Road,1575000,35,2,3,2,0,1490,161172,Pescadero,42
Active,Not Applicable,ML81548079,2502 Park Road,1549000,46,3,3,2,1,1840,3936,Redwood City,27
Active,Not Applicable,ML81550496,21 Viola Street,1549000,25,5,5,4,1,3300,4617.36,South San Francisco,13
Active,Not Applicable,ML81563758,541 Vista Avenue,1529950,4,3,3,2,1,1997,9165.02,San Carlos,60
Pending,Not Applicable,ML81562276,2424 Palm Avenue,1528000,7,3,3,3,0,1600,5959.01,Redwood City,64
Active,Not Applicable,ML81143660,25 N RAILROAD Avenue,1500000,1608,5,6,5,0,2200,9800,San Mateo,124
Pending,Not Applicable,ML81465770,49 Orchard Avenue,1500000,36,2,4,2,0,1480,15875,Redwood City,108
Pending,Not Applicable,ML81533701,217 El Granada Boulevard,1500000,49,3,4,3,0,2410,5150,El Granada,51
Active,Not Applicable,ML81519836,401 Nevada Avenue,1499000,133,2,3,2,0,1660,6750,Moss Beach,36
Pending,Not Applicable,ML81545282,892 Constitution Drive,1499000,12,2,3,2,0,1540,7152.55,Foster City,50
Pending,Not Applicable,ML81548926,674 Corona Drive,1499000,15,3,4,2,1,3550,22002.16,Pacifica,14
Pending,Not Applicable,ML81546080,912 Park Avenue,1498800,25,1,2,1,0,1080,6000,Burlingame,90
Pending,Not Applicable,ML81547811,3220 Upper Lock Avenue,1498000,13,3,3,2,1,2740,6250,Belmont,36
Pending,Not Applicable,ML81550483,160 Hedge Road,1498000,1,3,3,2,1,2184,5610,Menlo Park,69
Pending,Not Applicable,ML81561649,2 Dillon Lane,1498000,11,3,4,3,0,2290,7614.29,Redwood City,17
Active,Not Applicable,ML81562607,1669 Pecan Court,1498000,11,3,4,3,0,2130,6699.53,Redwood City,58
Pending,Not Applicable,ML81548818,2348 Howard Avenue,1495000,8,2,3,2,0,1320,6600,San Carlos,76
Active,Not Applicable,ML81550937,5 Heritage Place,1495000,20,3,3,3,0,1870,1764.18,Menlo Park,8
Active,Not Applicable,ML81562354,3812 Naughton Avenue,1495000,11,3,3,3,0,1980,4499.75,Belmont,51
Contingent,Not Applicable,ML81546980,201 Palm Avenue,1490000,39,1,2,1,0,1370,5519.05,Millbrae,81
Active,Potential Short Sale / Lender Appr Required,ML81547911,1078 Canyon Creek Terrace,1488888,18,3,5,3,0,3340,11372,Fremont,25
Pending,Not Applicable,ML81561347,1139 Parrott Drive,1488000,13,2,3,2,0,1550,9343.62,San Mateo,64
Contingent,Not Applicable,ML81562293,2920 San Juan Boulevard,1488000,11,3,4,3,0,2520,7749.32,Belmont,82
Active,Not Applicable,ML81563890,1525 De Anza Boulevard,1488000,2,3,3,2,1,2190,3863.77,San Mateo,36
Pending,Not Applicable,ML81550373,500 Palma Street,1485000,12,3,3,2,1,2391,5472,El Granada,12
Pending,Not Applicable,ML81512906,714 Humboldt Road,1480000,121,3,5,3,0,3244,7250,Brisbane,80
Active,Not Applicable,ML81470310,170 Swett Road,1475000,265,3,3,2,1,2880,119000,Woodside,24
Pending,Not Applicable,ML81550311,3720 Country Club Drive,1475000,14,3,4,2,1,1770,7487.96,Redwood City,60
Pending,Not Applicable,ML81562513,2213 Bunker Hill Drive,1475000,6,2,3,2,0,1360,8772.98,San Mateo,57
Active,Not Applicable,ML81563446,271 California Avenue,1465000,5,3,4,2,1,2370,5000.69,Moss Beach,37
Pending,Not Applicable,ML81546940,38289 Ford Lane,1450000,28,3,3,2,1,2472,59677,Fremont,67
Pending,Not Applicable,ML81550614,2664 Belmont Canyon Road,1450000,12,3,3,2,1,2400,5500,Belmont,51
Active,Not Applicable,ML81561486,281 Eagle Trace Drive,1450000,18,3,5,3,0,3270,7150,Half Moon Bay,26
Contingent,Not Applicable,ML81545795,153 16th Avenue,1449888,33,3,3,2,1,1830,5000.69,San Mateo,87
Pending,Not Applicable,ML81548050,11 Meadows Court,1449800,40,3,5,2,1,2610,8899.31,Fremont,17
Active,Not Applicable,ML81562755,1108 Royal Lane,1449000,8,3,2,2,1,2720,2256.41,San Carlos,31
Contingent,Not Applicable,ML81561245,808 Winchester Drive,1445000,6,2,3,2,0,1960,7200.47,Burlingame,70
Pending,Not Applicable,ML81562250,4185 Sedge Street,1420000,8,3,5,3,0,2749,6098.4,Fremont,37
Active,Not Applicable,ML81563453,551 Sea Spray Court,1399999,5,4,4,3,1,2820,3824.57,Pacifica,17
Active,Not Applicable,ML81522616,15 Alisal Court,1399000,115,3,4,2,1,2780,6234,Pacifica,15
Active,Not Applicable,ML81533396,694 Terrace Avenue,1399000,106,3,4,2,1,2432,8025,Half Moon Bay,0
Contingent,Not Applicable,ML81548768,9 Monte Vista Way,1399000,14,5,5,4,1,3540,4843.87,South San Francisco,13
Active,Not Applicable,ML81562039,208 El Rancho Drive,1399000,14,3,5,3,0,2310,5248.98,South San Francisco,17
Active,Not Applicable,ML81562190,40 Meadow Park Circle,1399000,6,3,3,2,1,2120,2025.54,Belmont,44
Active,Not Applicable,ML81511974,260 Annis Road,1398000,193,5,3,4,1,3120,3000,Brisbane,35
Contingent,Not Applicable,ML81547109,1539 Fifth Avenue,1398000,18,3,3,2,1,2020,5301.25,Belmont,67
Active,Not Applicable,ML81550780,1330 University Drive,1398000,22,2,2,2,0,1490,61241,Menlo Park,43
Active,Not Applicable,ML81562770,4021 Fair Oaks Avenue,1398000,8,5,7,5,0,2870,5000.69,Menlo Park,43
Pending,Not Applicable,ML81551035,195 Opal Avenue,1395000,9,2,3,1,1,1490,8150.08,Redwood City,70
Pending,Not Applicable,ML81561700,2525 Whipple Avenue,1395000,8,2,3,2,0,1870,7683.98,Redwood City,41
Active,Not Applicable,ML81563103,569 Skiff Circle ,1395000,7,2,3,2,0,1810,6500,Redwood Shores,47
Active,Not Applicable,ML81563933,1552 Chestnut Street,1395000,1,2,3,2,0,1420,4399.56,San Carlos,60
Active,Not Applicable,ML81546508,157 Panorama Court,1388800,58,3,4,2,1,2820,3824.57,Pacifica,18
Active,Not Applicable,ML81549598,1190 Tuolumne Court,1388000,31,2,3,2,0,1260,31001.65,Millbrae,53
Contingent,Not Applicable,ML81550611,1110 Tuolumne Road,1388000,8,3,4,3,0,2430,8899.31,Millbrae,48
Active,Not Applicable,ML81561394,602 Stetson Street,1388000,18,1,1,1,0,960,8275,Moss Beach,103
Active,Not Applicable,ML81564085,2502 Monserat Avenue,1388000,1,2,3,2,0,1830,7601.22,Belmont,57
Active,Not Applicable,ML81533535,132 Acorn Way,1381120,81,3,4,2,1,3328,10079,Livermore,14
Pending,Not Applicable,ML81547743,447 Laurel Avenue,1379000,29,3,4,3,0,2590,7501.03,Half Moon Bay,1
Pending,Not Applicable,ML81513507,161 Miramontes ,1375000,168,3,4,2,1,2586,7500,Half Moon Bay,11
Pending,Not Applicable,ML81549269,210 Curlew Court,1375000,26,2,3,2,0,1890,7339.86,Foster City,50
Pending,Not Applicable,ML81550314,2024 Ticonderoga Drive,1375000,7,2,3,2,0,1360,8560,San Mateo,59
Active,Not Applicable,ML81562776,371 Jeter Street,1375000,8,3,4,3,0,1420,6499.15,Redwood City,68
Contingent,Not Applicable,ML81563308,691 Terrace Avenue,1370000,0,3,4,3,0,2990,7949.7,Half Moon Bay,11
Active,Not Applicable,ML81547770,624 Port Drive,1368000,47,3,3,2,1,1660,2500.34,San Mateo,49
Active,Not Applicable,ML81563279,2753 Middlefield Avenue,1358800,8,2,3,2,0,1583,10737,Fremont,57
Pending,New Subdivision,ML81546754,420 Dewitt Lane,1350299,48,3,4,3,0,3264,3023.06,Alameda,0
Contingent,Not Applicable,ML81550478,1047 Gull Avenue,1350000,17,3,4,3,0,1630,6268.28,Foster City,50
Pending,Not Applicable,ML81519899,610 Woodside Way,1349000,94,1,1,1,0,1670,7440,Woodside,11
Active,Not Applicable,ML81549818,34881 Eastin Drive,1349000,29,4,5,4,0,3198,7305.01,Union City,16
Active,Not Applicable,ML81563597,2030 Nassau Drive,1349000,4,2,3,2,0,1560,6594.98,Redwood City,60
Pending,Not Applicable,ML81549360,1040 Menlo Oaks Drive,1348000,14,2,2,2,0,1560,7148.2,Menlo Park,78
Pending,Not Applicable,ML81561559,2319 Grosvenor Heights Court,1345000,11,4,4,4,0,4139,21679.81,Livermore,14
Active,Not Applicable,ML81548766,384 Greendale Way,1339000,39,2,3,2,0,2020,12632.4,Redwood City,68
Pending,Not Applicable,ML81561668,393 Ridge Road,1325000,9,2,3,1,1,1310,5450,San Carlos,68
Active,Not Applicable,ML81563616,2411 Graceland Avenue,1325000,4,2,3,2,0,1450,4900,San Carlos,62
Pending,Not Applicable,ML81547338,701 2nd Avenue,1320000,0,3,2,2,1,1661,18000,San Mateo,0
Active,Not Applicable,ML81546365,15 Arundel Drive,1319888,60,4,4,3,1,3920,7514,Hayward,2
Contingent,Not Applicable,ML81498638,13704 Skyline Boulevard,1300000,172,2,3,2,0,2510,27700,Woodside,66
Pending,Not Applicable,ML81547337,701 2nd Avenue,1300000,0,3,2,2,1,1661,18000,San Mateo,0
Active,Not Applicable,ML81562870,13 PARKGROVE Drive,1300000,8,3,4,3,0,2410,6428,South San Francisco,19
Active,Not Applicable,ML81564106,43139 Starr Street,1300000,1,3,3,3,0,1545,5500,Fremont,64
Pending,Not Applicable,ML81547690,1961 Beach Park ,1299999,24,2,3,2,0,1840,5225,Foster City,51
Active,Not Applicable,ML81549246,37779 Alta Court,1299950,34,4,4,4,0,2717,6860.7,Fremont,62
Active,Not Applicable,ML81562486,3531 Oak Knoll Drive,1299950,11,3,3,2,1,1853,4218,Redwood City,29
Pending,REO / Bank Owned Property,ML81548132,1507-1509 Willow Avenue,1299900,31,2,2,2,0,1210,13956.62,Burlingame,104
Pending,Not Applicable,ML81550559,35673 Gleason Lane,1299888,8,3,4,3,0,2675,5155,Fremont,37
Pending,Not Applicable,ML81546310,3211 Longfellow Drive,1299000,12,4,3,3,1,2260,11600.03,Belmont,38
Pending,Not Applicable,ML81550302,140 Tuolumne Drive,1299000,14,3,4,2,1,1787,6085.33,Fremont,39
Active,Not Applicable,ML81563273,340 Belleville Boulevard,1299000,6,2,3,2,0,1995,7500,Half Moon Bay,0
Pending,Not Applicable,ML81548710,1330 University Drive,1298000,17,2,2,2,0,1600,61241,Menlo Park,43
Pending,Not Applicable,ML81548816,842 Lurline ,1298000,10,2,4,2,0,1760,6080,Foster City,52
Active,Not Applicable,ML81550612,36369 Carnation Way,1298000,25,3,4,3,0,2480,9500,Fremont,56
Active,Not Applicable,ML81561428,20 Joseph Drive,1298000,18,4,4,3,1,2300,4352,South San Francisco,18
Pending,Not Applicable,ML81561982,342 E Oakwood Boulevard,1298000,9,2,3,2,0,1570,9256.5,Redwood City,66
Active,Not Applicable,ML81561302,1000 Live Oak Way,1298000,8,3,3,2,1,2096,204198,Belmont,11
Active,Not Applicable,ML81563266,3505 Branson Drive,1298000,6,2,4,2,0,1340,5000,San Mateo,68
Pending,Not Applicable,ML81513815,1052 Sunset Drive,1295000,48,2,3,1,1,1360,12500,San Carlos,51
Contingent,Not Applicable,ML81546455,3785 Farm Hill Boulevard,1295000,14,3,3,2,1,1970,12600,Redwood City,58
Contingent,Not Applicable,ML81549665,1054 Pine Street,1295000,27,2,2,1,1,1355,15189,Menlo Park,54
Contingent,Not Applicable,ML81549666,1056 Pine Street,1295000,24,2,2,1,1,1355,15189,Menlo Park,55
Active,Not Applicable,ML81563918,488 E 28th Avenue,1295000,1,4,3,3,1,1750,,San Mateo,2
Active,Not Applicable,ML81563929,523 Pitcairn Drive,1295000,1,3,3,2,1,1880,4600,Foster City,40
Contingent,Not Applicable,ML81519280,344 Belleville ,1289000,131,3,3,2,1,2200,7500,Half Moon Bay,0
Pending,Not Applicable,ML81548495,41826 Higgins Way,1288888,15,2,3,2,0,1434,6510,Fremont,56
Pending,Not Applicable,ML81547174,360 Carmel Avenue,1288000,26,3,4,3,0,2080,5190,Pacifica,0
Pending,Not Applicable,ML81550247,121 State Street,1288000,8,3,3,2,1,1968,,San Mateo,2
Pending,Not Applicable,ML81550458,1316 Rosewood Avenue,1288000,12,2,2,2,0,1230,4917.92,San Carlos,71
Pending,Not Applicable,ML81550639,15 Garden Lane,1288000,17,3,3,2,1,1480,9790,San Carlos,55
Contingent,Not Applicable,ML81561397,3936 Casanova Drive,1288000,12,2,3,2,0,1825,5000.69,San Mateo,66
Pending,Not Applicable,ML81547335,701 2nd Avenue,1285000,0,3,2,2,1,1732,18000,San Mateo,0
Pending,Not Applicable,ML81547336,701 2nd Avenue,1285000,0,3,2,2,1,1732,18000,San Mateo,0
Pending,Not Applicable,ML81548676,701 2nd Avenue,1285000,0,3,2,2,1,1732,18000,San Mateo,0
Pending,Not Applicable,ML81548678,701 2nd Avenue,1285000,0,3,2,2,1,1732,18000,San Mateo,0
Active,Not Applicable,ML81562679,68 Darcy Avenue,1259000,9,2,4,2,0,1970,5148.79,San Mateo,74
Pending,Not Applicable,ML81550182,33883 Abercrombie Place,1258000,14,3,4,3,0,2409,11687.15,Fremont,40
Active,Not Applicable,ML81563796,784 Mediterranean Lane,1258000,4,2,2,2,0,2056,360202,Redwood City,27
Contingent,Not Applicable,ML81497771,11169 La Honda Road ,1250000,177,3,3,2,1,2400,58370,Woodside,69
Pending,Not Applicable,ML81515484,260 Stilt Court,1250000,29,3,5,3,0,1930,5700,Foster City,50
Contingent,Not Applicable,ML81521098,600 Sierra Street,1250000,109,3,3,2,1,2720,15000,Moss Beach,49
Pending,Not Applicable,ML81550292,917 Gull Avenue,1250000,15,3,4,2,1,2200,5702,Foster City,47
Active,Not Applicable,ML81561564,5301 Brophy Drive,1250000,18,2,3,2,0,1780,7665,Fremont,52
Pending,Not Applicable,ML81562439,465 Chesapeake Avenue,1250000,4,2,3,2,0,1280,5222.84,Foster City,45
Active,Not Applicable,ML81563936,501 8th Avenue,1250000,1,2,2,2,0,1570,5300,Menlo Park,54
Pending,Not Applicable,ML81546126,45 Espada Court,1249000,36,3,4,2,1,2258,8451,Fremont,35
Contingent,Not Applicable,ML81549064,493 Cypress Street,1249000,33,2,3,2,0,1600,6664.68,Redwood City,62
Pending,Not Applicable,ML81549476,28 Tulip Lane,1249000,12,2,2,2,0,1990,1624,San Carlos,27
Pending,Not Applicable,ML81548920,3234 Los Prados Street,1248000,13,2,4,2,0,2330,6363,San Mateo,56
Pending,Not Applicable,ML81548986,3468 Oak Knoll Drive,1248000,9,3,3,2,1,2320,21064,Redwood City,94
Pending,Not Applicable,ML81561658,10 Cottage Lane,1248000,9,3,3,2,1,1660,4948.42,San Carlos,55
Pending,Not Applicable,CRIN16001572,38431 Darnel Court,1238888,,4,4,4,0,3142,8484,Fremont,
Pending,Not Applicable,ML81514940,225 9th Avenue,1238000,130,2,2,2,0,1693,51834,San Mateo,9
Pending,Not Applicable,ML81550360,401 36th Avenue,1238000,8,2,4,2,0,1730,8759.92,San Mateo,65
Contingent,Not Applicable,ML81561464,838 Lakeshore Drive,1238000,9,2,2,2,0,1892,,Redwood Shores,27
Active,New Subdivision,ML81546479,2746 Bette Street,1235539,59,4,4,3,1,2695,3393.32,Alameda,0
Pending,New Subdivision,ML81546338,2820 Casita Terrace,1228000,19,4,4,3,1,2108,,Fremont,0
Active,Not Applicable,ML81519406,939 Columbus Street,1225000,79,3,3,2,1,2500,5000,El Granada,20
Pending,Not Applicable,ML81549691,1170 Fernside Street,1225000,11,2,3,2,0,1240,6481.73,Redwood City,63
Contingent,Not Applicable,ML81545314,854 Cedar Street,1215000,50,4,4,3,1,3050,7440.05,Montara,11
Active,Not Applicable,ML81546048,1149 Platinum Street,1210000,63,4,5,3,1,3569,6020,Union City,11
Active,Not Applicable,ML81547738,418 Flora Place,1200000,48,3,5,3,0,2628,7305.01,Fremont,39
Pending,Not Applicable,ML81547763,4539 Grover Court,1200000,13,3,3,2,1,2028,9646,Fremont,61
Pending,Not Applicable,ML81548677,701 2nd Avenue,1200000,0,3,2,2,1,1589,18000,San Mateo,0
Pending,Not Applicable,ML81550486,419 Burning Tree Court,1200000,15,2,3,2,0,2150,5000.69,Half Moon Bay,37
Active,Not Applicable,ML81550757,324 Miramontes Avenue,1200000,22,3,4,3,0,2770,7501.03,Half Moon Bay,29
Pending,Not Applicable,ML81561364,2620 Lincoln Avenue,1200000,13,2,2,2,0,1492,6268.28,Belmont,77
Active,Not Applicable,ML81561501,322 Hazel Avenue,1200000,18,1,2,1,0,1670,2500.34,San Bruno,86
Active,Not Applicable,ML81561535,1762 Lake Street,1200000,18,2,3,1,1,1200,9426.38,San Mateo,56
Active,,ML81511955,742 El Granada Boulevard,1199000,193,4,4,4,0,4450,4750,El Granada,34
Active,Not Applicable,ML81517510,18256 Carlton Avenue,1199000,155,4,4,3,1,3311,7057,Castro Valley,0
Pending,Not Applicable,ML81534313,949 Laguna Avenue,1199000,11,1,2,1,0,1010,5750,Burlingame,94
Pending,Not Applicable,ML81548865,537 Elm Street,1199000,8,3,2,2,1,1684,7749.32,San Carlos,7
Pending,Not Applicable,ML81549611,539 Elm Street,1199000,17,3,2,2,1,1612,7749,San Carlos,7
Pending,Not Applicable,ML81561388,1200 Sunshine Valley Road,1199000,12,3,4,2,1,2775,6769.22,Montara,14
Active,Not Applicable,ML81562632,2327 Winged Foot Road,1199000,10,2,3,2,0,2180,6499.15,Half Moon Bay,34
Pending,Not Applicable,ML81546295,5278 Troy Avenue,1198888,21,3,5,3,0,2137,7649.14,Fremont,55
Pending,Not Applicable,ML81521308,330 Ridge Road,1198000,45,2,2,2,0,1830,10800,Woodside,43
Active,Not Applicable,ML81522688,2200 Cabrillo Highway,1198000,113,2,3,2,0,1560,20874,Half Moon Bay,82
Pending,Not Applicable,ML81549347,5 Honeysuckle Lane,1198000,5,3,3,2,1,2100,1,San Carlos,30
Contingent,Not Applicable,ML81550064,1136 Dufferin Avenue,1198000,15,1,2,1,0,1050,5035.54,Burlingame,74
Contingent,Not Applicable,ML81561446,405 La Jolla Avenue,1198000,12,3,3,2,1,1800,5336,San Mateo,68
Active,Not Applicable,ML81562308,535 Maple Avenue,1198000,12,3,4,3,0,1830,5000,San Bruno,75
Active,Not Applicable,ML81563318,533 Elm Street,1198000,6,2,2,2,0,1559,,San Carlos,7
Active,Not Applicable,ML81563472,40872 Marty Terrace,1197000,5,3,3,2,1,1695,3920.4,Fremont,25
Pending,Not Applicable,ML81550722,113 Calaveras Avenue,1195000,10,3,3,2,1,2380,27978.59,Pacifica,16
Active,Not Applicable,ML81562151,24 Trillium Lane,1195000,13,3,3,2,1,1709,1,San Carlos,35
Active,Not Applicable,ML81562698,805 Vespucci Lane,1195000,8,2,3,2,0,1580,2733,Foster City,42
Active,Not Applicable,ML81563943,656 Walnut Street,1188888,1,2,3,2,0,1628,7644.78,San Carlos,9
Contingent,Not Applicable,ML81546493,458 Miriam Street,1188000,6,5,8,5,0,2580,2500,Daly City,17
Pending,Not Applicable,ML81550056,2520 Heritage Way,1188000,26,3,4,2,1,3020,6403.32,Union City,17
Contingent,Not Applicable,ML81561781,866 Brookside Lane,1188000,2,2,3,2,0,1370,6102.76,Millbrae,61
Active,Not Applicable,ML81563584,2300 Kehoe Avenue,1188000,4,3,4,3,0,2420,5959.01,San Mateo,57
