Redwood Shores Elementary ,10," 225 Shearwater Pkwy. Redwood City, CA 94065 ",928, Elementary School
Portola Elementary ,10," 300 Amador Ave. San Bruno, CA 94066 ",929, Elementary School
Encinal Elementary ,10," 195 Encinal Ave. Atherton, CA 94027 ",930, Elementary School
Foster City Elementary ,10," 461 Beach Park Blvd. Foster City, CA 94404 ",931, Elementary School
Baywood Elementary ,10," 600 Alameda de Las Pulgas San Mateo, CA 94402 ",932, Elementary School
Central Elementary ,10," 525 Middle Rd. Belmont, CA 94002 ",936, Elementary School
Corte Madera ,10," 4575 Alpine Rd. Portola Valley, CA 94028 ",937, Middle School
Sandpiper Elementary ,10," 801 Redwood Shores Pkwy. Redwood City, CA 94065 ",939, Elementary School
Las Lomitas Elementary ,10," 299 Alameda de Las Pulgas Atherton, CA 94027 ",943, Elementary School
Arundel Elementary ,10," 200 Arundel Rd. San Carlos, CA 94070 ",946, Elementary Schoolÿ
Brewer Island Elementary ,10," 1151 Polynesia Dr. Foster City, CA 94404 ",950, Elementary School
Hillview Middle ,10," 1100 Elder Ave. Menlo Park, CA 94025 ",950, Middle School
Kings Mountain Elementary ,10," 498 Kelly Ave. Half Moon Bay, CA 94019 ",958, Elementary School
South Hillsborough ,10," 303 El Cerrito Ave. Hillsborough, CA 94010 ",959, Elementary School
Franklin Elementary ,10," 2385 Trousdale Dr. Burlingame, CA 94010 ",961, Elementary School
Oak Knoll Elementary ,10," 1895 Oak Knoll Ln. Menlo Park, CA 94025 ",961, Elementary School
Crocker Middle ,10," 2600 Ralston Ave. Hillsborough, CA 94010 ",962, Middle School
La Entrada Middle ,10," 2200 Sharon Rd. Menlo Park, CA 94025 ",963, Middle School
Woodside Elementary ,10," 3195 Woodside Rd. Woodside, CA 94062 ",965, Elementary School
North Hillsborough ,10," 545 Eucalyptus Ave. Hillsborough, CA 94010 ",979, Elementary School
West Hillsborough ,10," 376 Barbara Way Hillsborough, CA 94010 ",982, Elementary School
North Star Academy ,10," 400 Duane St. Redwood City, CA 94062 ",996, Elementary School
San Mateo County Special Education , ," 101 Twin Dolphin Dr. Redwood City, CA 94065 ",673, High School
Continuation Baden High ,  ," 825 Southwood Dr. South San Francisco, CA 94080 ",415, High School
Thornton High ,  ," 115 First Ave. Daly City, CA 94014 ",477, High School
Redwood High ,  ," 1968 Old County Rd. Redwood City, CA 94063 ",531, High School
Gateway Center ,  ," 35 Tower Rd. San Mateo, CA 94402 ",565, High School
Pilarcitos Alternative High (Continuatio) ,," 498 Kelly Ave. Half Moon Bay, CA 94019 ",,High School
Camp Glenwood ,," 400 Log Cabin Ranch Rd. La Honda, CA 94020 ",,High School
Canyon Oaks Youth Center ,," 400 Edmonds Rd. Redwood City, CA 94062 ",,High School
Sequoia Union High Independent Study ,," 120 James Ave. Redwood City, CA 94062 ",,High School
Hillcrest at Youth Services Center ,," 10 Loop Rd. San Mateo, CA 94402 ",,High School
