Active,Not Applicable,ML81549887,1691 Marseilles Court,4250000,28,5,5,4,1,6487,+1.60650000000000E+004,San Jose,9,-1.21771123000000E+002,+3.72720530000000E+001
Pending,Not Applicable,ML81522179,10650 Magdalena Road,4200000,96,7,5,3,4,6729,+4.48660000000000E+004,Los Altos Hills,10,-1.22118092000000E+002,+3.73439970000000E+001
Contingent,Not Applicable,ML81535049,15581 Toyon Drive,4200000,55,7,5,6,1,6072,+1.10479000000000E+005,Los Gatos,52,-1.21995544000000E+002,+3.72415010000000E+001
Active,Not Applicable,ML81548652,12101 Oak Park Court,4198000,40,4,4,4,0,4095,+6.96960000000000E+004,Los Altos Hills,20,-1.22121503000000E+002,+3.73550759000000E+001
Active,Not Applicable,ML81563226,26653 Snell Lane,4195000,6,3,5,3,0,2831,+4.30067900000000E+004,Los Altos Hills,53,-1.22138417600000E+002,+3.73875084000000E+001
Active,Potential Short Sale / Lender Appr Required,ML81548875,26390 Anacapa Drive,4190000,39,5,3,4,1,3344,+5.58000000000000E+004,Los Altos Hills,4,-1.22143461000000E+002,+3.73823859000000E+001
Active,Not Applicable,ML81562228,17730 Kilkenny Road,4100000,13,5,5,4,1,7307,+5.74992000000000E+004,Los Gatos,17,-1.21970278000000E+002,+3.72137070000000E+001
Active,Not Applicable,ML81561362,13410 Old Oak Way,3999888,19,2,3,2,0,2990,+3.96396000000000E+004,Saratoga,42,-1.22046640000000E+002,+3.72725400000000E+001
Pending,Not Applicable,ML81515318,6970 Hollow Lake Way,3999000,152,8,6,7,1,9625,+6.23140000000000E+004,San Jose,0,-1.21851694000000E+002,+3.71971050000000E+001
Active,Not Applicable,ML81549185,22336 Regnart Road,3998000,35,4,5,4,0,4474,+1.16013000000000E+005,Cupertino,29,-1.22066117000000E+002,+3.72944419000000E+001
Active,Not Applicable,ML81561832,21029 Bank Mill Road,3998000,15,5,5,4,1,4331,+4.32980000000000E+004,Saratoga,43,-1.22042438000000E+002,+3.72573220000000E+001
Active,Not Applicable,ML81561853,17075 Uvas Road,3998000,14,6,5,4,2,4581,+2.22156000000000E+006,Morgan Hill,4,-1.21724866000000E+002,+3.70979440000000E+001
Active,Not Applicable,ML81564000,21215 CHADWICK Court,3998000,1,7,4,5,2,5732,+1.65092400000000E+005,Saratoga,20,-1.22045653000000E+002,+3.72769000000000E+001
Pending,Not Applicable,ML81561752,272 Covington Road,3995000,9,2,4,2,0,1914,+4.35208000000000E+004,Los Altos,69,-1.22106421000000E+002,+3.73689820000000E+001
Active,Not Applicable,ML81562738,26007 Rancho Manuella Lane,3995000,8,4,4,4,0,3563,+5.05070000000000E+004,Los Altos Hills,37,-1.22132915000000E+002,+3.73877130000000E+001
Active,Not Applicable,ML81498424,5555 Felter Road,3988800,217,6,5,6,0,15074,+2.26617200000000E+006,San Jose,0,-1.21799039100000E+002,+3.74291729000000E+001
Active,Not Applicable,ML81549692,15195 Becky Lane,3988000,29,4,4,3,1,5147,+4.35600000000000E+004,Monte Sereno,31,-1.21993121000000E+002,+3.72477830000000E+001
Active,Not Applicable,ML81562202,12444 Robleda Road,3988000,13,5,6,4,1,4992,+3.54752600000000E+004,Los Altos Hills,28,-1.22137000000000E+002,+3.73647149000000E+001
Active,Not Applicable,ML81513650,22090 Lindy Lane,3975000,181,4,4,4,0,6084,+8.78810000000000E+004,Cupertino,34,-1.22062794000000E+002,+3.73030640000000E+001
Active,Not Applicable,ML81462559,22558 Country View Drive,3970000,263,6,5,5,1,8742,+3.86377000000000E+005,San Jose,21,-1.21785637000000E+002,+3.71915580000000E+001
Active,Not Applicable,ML81550512,703 N California Avenue,3900000,25,4,5,4,0,2773,+8.56825000000000E+003,Palo Alto,65,-1.22136284000000E+002,+3.74381180000000E+001
Active,Not Applicable,ML81548668,536 Lincoln,3888000,40,3,4,2,1,2945,+5.27500000000000E+003,Palo Alto,119,-1.22150992000000E+002,+3.74439920000000E+001
Active,Not Applicable,ML81464240,22265 Rolling Hills Road,3880000,305,4,5,4,0,3961,+1.96020000000000E+005,Saratoga,103,-1.22051520000000E+002,+3.72886750000000E+001
Active,Not Applicable,ML81550224,2951 South Court,3880000,27,4,5,3,1,3300,+5.00000000000000E+003,Palo Alto,0,-1.22130301700000E+002,+3.74272664000000E+001
Active,Not Applicable,ML81549823,21740 Rainbow Drive,3800000,28,6,4,4,2,4714,+6.96960000000000E+004,Cupertino,1,-1.22056576600000E+002,+3.72974976000000E+001
Active,Not Applicable,ML81513829,27446 Black Mountain Road,3799000,181,3,4,3,0,3119,+4.43500000000000E+004,Los Altos Hills,47,-1.22155892000000E+002,+3.73673069000000E+001
Active,Not Applicable,ML81548433,27633 Via Cerro Gordo,3795000,42,3,4,3,0,3836,+6.79090000000000E+004,Los Altos Hills,48,-1.22162317000000E+002,+3.73688660000000E+001
Active,Not Applicable,ML81562959,21081 Chiquita Way,3788000,7,3,4,2,1,3292,+7.27452000000000E+004,Saratoga,39,-1.22042750000000E+002,+3.72750870000000E+001
Active,Not Applicable,ML81563387,13030 La Paloma Road,3750000,5,5,5,4,1,3517,+4.59819400000000E+004,Los Altos Hills,43,-1.22136152000000E+002,+3.73691890000000E+001
Pending,Not Applicable,ML81548639,12911 Atherton Court,3749000,20,4,4,3,1,4194,+5.57568000000000E+004,Los Altos Hills,37,-1.22130858000000E+002,+3.73695660000000E+001
Active,Not Applicable,ML81550375,16660 Cypress Way,3690000,26,7,7,6,1,4369,+1.86436800000000E+005,Los Gatos,108,-1.21960668000000E+002,+3.72163899000000E+001
Active,Not Applicable,ML81517260,5698 La Seyne Place,3600000,158,7,5,6,1,6527,+1.30680000000000E+004,San Jose,8,-1.21766720000000E+002,+3.72700950000000E+001
Active,Not Applicable,ML81548565,26375 Taaffe Road,3600000,41,5,4,4,1,3301,+4.59166000000000E+004,Los Altos Hills,77,-1.22141481000000E+002,+3.73662490000000E+001
Pending,Not Applicable,ML81562311,955 Stanley Avenue,3598000,8,4,4,3,1,3597,+1.24320200000000E+004,Los Altos,12,-1.22088265000000E+002,+3.73641030000000E+001
Active,Not Applicable,ML81563726,19165 Austin Way,3595000,4,5,4,4,1,4146,+4.80260000000000E+004,Saratoga,68,-1.22006561000000E+002,+3.72421719000000E+001
Active,Not Applicable,ML81522741,5551 Sierra Road,3588000,113,4,5,3,1,4107,+5.95901000000000E+005,San Jose,24,-1.21770495000000E+002,+3.74080500000000E+001
Active,Not Applicable,ML81521846,5500 Morningside Drive,3550000,123,5,4,4,1,5731,+1.68060000000000E+004,San Jose,15,-1.21766495700000E+002,+3.72699889000000E+001
Pending,Not Applicable,ML81550036,10231 HILLCREST Road,3500000,26,7,6,7,0,4707,+1.20060000000000E+004,Cupertino,0,-1.22065663300000E+002,+3.73264973000000E+001
Active,Not Applicable,ML81563120,14565 Harvard Court,3500000,7,4,3,3,1,3132,+5.12730000000000E+004,Los Altos Hills,45,-1.22167242000000E+002,+3.73872230000000E+001
Active,Not Applicable,ML81547929,15345 Bohlman Road,3499888,39,6,5,5,1,4900,+5.81329980000000E+005,Saratoga,31,-1.22041914000000E+002,+3.72478130000000E+001
Pending,Not Applicable,ML81516644,19357 Zinfandel Court,3499000,12,4,6,3,1,3853,+4.05620000000000E+004,Saratoga,40,-1.22010698000000E+002,+3.72550830000000E+001
Pending,Not Applicable,ML81547796,115 Waverley Street,3498000,31,2,4,1,1,2196,+7.90000000000000E+003,Palo Alto,111,-1.22165242000000E+002,+3.74505120000000E+001
Active,Not Applicable,ML81563084,25136 La Loma Drive,3495000,7,3,4,2,1,3204,+5.20759800000000E+004,Los Altos Hills,60,-1.22131924000000E+002,+3.73522470000000E+001
Pending,Not Applicable,ML81562126,2300 2308 Amherst Street,3488000,9,4,5,4,0,3801,+6.00000000000000E+003,Palo Alto,14,-1.22154151700000E+002,+3.74166972000000E+001
Active,Not Applicable,ML81563277,27071 Dezahara Way,3488000,6,4,4,3,1,3428,+4.96584000000000E+004,Los Altos Hills,42,-1.22149970000000E+002,+3.73619700000000E+001
Active,Not Applicable,ML81519552,6793 Elwood Road,3425000,140,6,5,5,1,5238,+2.00000000000000E+004,San Jose,50,-1.21859019000000E+002,+3.72088910000000E+001
